Top boundary,Bottom boundary,Time
1260.61,741.34,1059.84
1253.22,709.38,1067.52
1314.89,757.2,1075.2
1479.91,727.03,1082.8799999999999
1375.28,802.83,1090.56
1412.5,899.48,1098.24
1309.85,923.08,1105.92
1334.1,905.39,1113.6
1346.48,946.72,1121.28
1286.8,924.63,1128.96
1236.42,868.1,1136.6399999999999
1237.25,871.43,1144.32
1347.36,837.19,1152.0
1551.04,761.61,1159.68
1639.66,765.26,1167.36
1461.87,764.22,1175.04
1350.08,721.89,1182.72
1323.88,733.31,1190.3999999999999
1404.02,734.25,1198.08
1398.85,724.33,1205.76
1466.49,761.98,1213.44
1515.0,718.28,1221.12
1635.98,756.21,1228.8
1686.14,699.1,1236.48
1787.37,737.06,1244.1599999999999
1816.04,742.57,1251.84
1275.38,869.65,1259.52
1309.48,916.36,1267.2
1243.86,868.11,1274.8799999999999
1313.48,915.87,1282.56
1380.93,915.07,1290.24
1429.31,938.2,1297.9199999999998
1408.75,943.44,1305.6
1343.57,880.1,1313.28
1345.69,922.08,1320.96
1385.69,928.54,1328.6399999999999
1344.21,855.12,1336.32
1361.8,891.33,1344.0
1339.15,856.38,1351.6799999999998
1359.39,826.36,1359.36
1403.52,849.6,1367.04
1385.27,925.36,1374.72
1356.67,934.34,1382.3999999999999
1333.5,935.99,1390.08
1350.4,920.66,1397.76
1452.19,933.53,1405.44
1399.68,881.7,1413.12
1361.52,835.36,1420.8
1368.92,831.23,1428.48
1466.47,799.84,1436.1599999999999
1509.07,745.32,1443.84
1566.29,705.18,1451.52
1619.13,734.91,1459.2
1696.82,713.97,1466.8799999999999
1769.24,708.44,1474.56
1846.48,755.31,1482.24
1775.65,827.75,1489.9199999999998
1737.67,790.61,1497.6
1694.29,902.27,1505.28
1604.13,888.89,1512.96
1573.19,927.82,1520.6399999999999
1460.05,920.81,1528.32
1342.45,943.31,1536.0
1280.63,929.55,1543.6799999999998
1267.22,889.99,1551.36
1208.92,771.0,1559.04
1235.77,833.07,1566.72
1259.95,863.56,1574.3999999999999
1286.62,806.53,1589.76
1314.32,854.75,1597.44
1284.59,780.67,1605.12
1325.85,713.25,1612.8
1296.49,614.43,1620.48
1235.98,663.82,1628.1599999999999
1204.78,704.65,1635.84
1108.99,752.91,1643.52
1108.12,750.89,1651.2
1109.94,798.51,1658.8799999999999
1120.26,841.91,1666.56
1113.74,810.75,1674.24
1094.75,805.29,1681.9199999999998
1135.77,840.91,1689.6
1180.86,861.4,1697.28
1186.48,844.5,1704.96
1210.98,827.63,1712.6399999999999
1167.91,782.41,1720.32
1124.65,755.36,1728.0
1195.06,801.39,1735.6799999999998
1196.03,765.49,1743.36
1184.36,784.03,1751.04
1143.65,726.82,1758.72
1173.13,726.82,1766.3999999999999
1101.73,687.59,1774.08
1094.35,613.12,1781.76
1097.22,657.62,1789.4399999999998
1016.04,595.16,1797.12
985.64,589.95,1804.8
977.39,616.33,1812.48
929.21,550.36,1820.1599999999999
